cycle number	Ecell/V	<I>/mA	time/s	
1.000000000000000E+000	1.0757051E-001	6.893722387663224E-001	1.399126766454952E+004
1.000000000000000E+000	1.0832905E-001	6.906631848310294E-001	1.399142166455684E+004
1.000000000000000E+000	1.0911470E-001	6.919055234649569E-001	1.399157366456406E+004
1.000000000000000E+000	1.0990455E-001	6.929466943027531E-001	1.399172566457128E+004
1.000000000000000E+000	1.1066324E-001	6.941327143391849E-001	1.399187866457854E+004
1.000000000000000E+000	1.1142226E-001	6.951685954906068E-001	1.399203166458581E+004
1.000000000000000E+000	1.1222308E-001	6.961644169911576E-001	1.399218366459303E+004
1.000000000000000E+000	1.1296806E-001	6.974222363001132E-001	1.399233566460025E+004
1.000000000000000E+000	1.1371950E-001	6.985286642084052E-001	1.399248966460756E+004
1.000000000000000E+000	1.1449256E-001	6.994224085060292E-001	1.399264166461478E+004
1.000000000000000E+000	1.1524238E-001	7.004004699162768E-001	1.399279366462200E+004
1.000000000000000E+000	1.1600801E-001	7.014291946638846E-001	1.399294766462932E+004
1.000000000000000E+000	1.1674847E-001	7.023987529463440E-001	1.399309966463654E+004
1.000000000000000E+000	1.1755382E-001	7.036989173771211E-001	1.399325166464376E+004
1.000000000000000E+000	1.1831139E-001	7.046674631570919E-001	1.399340566465107E+004
1.000000000000000E+000	1.1905281E-001	7.057300878108532E-001	1.399355766465829E+004
1.000000000000000E+000	1.1981297E-001	7.065543212886425E-001	1.399370966466551E+004
1.000000000000000E+000	1.2060207E-001	7.076796636689249E-001	1.399386266467278E+004
1.000000000000000E+000	1.2138619E-001	7.086099168281379E-001	1.399401566468005E+004
1.000000000000000E+000	1.2207630E-001	7.094701518516237E-001	1.399416766468727E+004
1.000000000000000E+000	1.2286744E-001	7.105746200216578E-001	1.399431966469449E+004
1.000000000000000E+000	1.2364729E-001	7.114747542914071E-001	1.399447366470180E+004
1.000000000000000E+000	1.2441033E-001	7.122116216155199E-001	1.399462566470902E+004
1.000000000000000E+000	1.2515144E-001	7.131984280007915E-001	1.399477766471624E+004
1.000000000000000E+000	1.2592128E-001	7.140208787570508E-001	1.399493166472355E+004
1.000000000000000E+000	1.2668142E-001	7.148310482693936E-001	1.399508366473077E+004
1.000000000000000E+000	1.2746932E-001	7.157096014351563E-001	1.399523566473799E+004
1.000000000000000E+000	1.2822431E-001	7.166586572029550E-001	1.399538966474531E+004
1.000000000000000E+000	1.2903999E-001	7.175538901161111E-001	1.399554166475253E+004
1.000000000000000E+000	1.2973170E-001	7.182483293063733E-001	1.399569366475975E+004
1.000000000000000E+000	1.3050024E-001	7.190817722424132E-001	1.399584666476701E+004
1.000000000000000E+000	1.3128911E-001	7.198060304449942E-001	1.399599966477428E+004
1.000000000000000E+000	1.3203537E-001	7.205695400856413E-001	1.399615166478150E+004
1.000000000000000E+000	1.3276649E-001	7.214196552053505E-001	1.399630366478872E+004
1.000000000000000E+000	1.3355601E-001	7.222970842931238E-001	1.399645766479603E+004
1.000000000000000E+000	1.3431390E-001	7.228291797379711E-001	1.399660966480325E+004
1.000000000000000E+000	1.3508405E-001	7.236378948341606E-001	1.399676166481047E+004
1.000000000000000E+000	1.3581096E-001	7.243184633814757E-001	1.399691566481779E+004
1.000000000000000E+000	1.3665567E-001	7.250074581864734E-001	1.399706766482501E+004
1.000000000000000E+000	1.3739291E-001	7.258225725898280E-001	1.399721966483223E+004
1.000000000000000E+000	1.3817340E-001	7.266625348365121E-001	1.399737366483954E+004
1.000000000000000E+000	1.3893354E-001	7.273445217161294E-001	1.399752566484676E+004
1.000000000000000E+000	1.3963075E-001	7.280744740726366E-001	1.399767766485398E+004
1.000000000000000E+000	1.4046383E-001	7.287133308256264E-001	1.399783066486125E+004
1.000000000000000E+000	1.4118882E-001	7.293087801867695E-001	1.399798366486852E+004
1.000000000000000E+000	1.4201255E-001	7.299782474038885E-001	1.399813566487574E+004
1.000000000000000E+000	1.4273880E-001	7.308098792122442E-001	1.399828766488296E+004
1.000000000000000E+000	1.4347477E-001	7.315690932703802E-001	1.399844166489027E+004
1.000000000000000E+000	1.4425717E-001	7.320079822747567E-001	1.399859366489749E+004
1.000000000000000E+000	1.4498343E-001	7.326927576083211E-001	1.399874566490471E+004
1.000000000000000E+000	1.4578845E-001	7.333816420941206E-001	1.399889966491202E+004
1.000000000000000E+000	1.4653440E-001	7.339370559717810E-001	1.399905166491924E+004
1.000000000000000E+000	1.4730197E-001	7.346813831766248E-001	1.399920366492646E+004
1.000000000000000E+000	1.4802276E-001	7.353233628289049E-001	1.399935766493378E+004
1.000000000000000E+000	1.4880773E-001	7.359941453788528E-001	1.399950966494100E+004
1.000000000000000E+000	1.4960793E-001	7.366603913714798E-001	1.399966166494822E+004
1.000000000000000E+000	1.5030359E-001	7.372079709124169E-001	1.399981466495548E+004
1.000000000000000E+000	1.5113628E-001	7.376980524187342E-001	1.399996766496275E+004
1.000000000000000E+000	1.5187190E-001	7.383803992032725E-001	1.400011966496997E+004
1.000000000000000E+000	1.5264337E-001	7.390579293008734E-001	1.400027166497719E+004
1.000000000000000E+000	1.5340318E-001	7.396064607788571E-001	1.400042566498450E+004
1.000000000000000E+000	1.5413621E-001	7.400625442226660E-001	1.400057766499172E+004
1.000000000000000E+000	1.5491670E-001	7.406253694126974E-001	1.400072966499894E+004
1.000000000000000E+000	1.5568686E-001	7.412200659356456E-001	1.400088366500626E+004
1.000000000000000E+000	1.5644282E-001	7.418756394426778E-001	1.400103566501348E+004
1.000000000000000E+000	1.5721136E-001	7.425726112545368E-001	1.400118766502070E+004
1.000000000000000E+000	1.5801540E-001	7.432256794994832E-001	1.400134166502801E+004
1.000000000000000E+000	1.5879039E-001	7.436678485827075E-001	1.400149366503523E+004
1.000000000000000E+000	1.5950730E-001	7.443180169116275E-001	1.400164566504245E+004
1.000000000000000E+000	1.6026594E-001	7.448843689249112E-001	1.400179866504972E+004
1.000000000000000E+000	1.6103567E-001	7.452387328606456E-001	1.400195166505699E+004
1.000000000000000E+000	1.6184036E-001	7.459294384986617E-001	1.400210366506421E+004
1.000000000000000E+000	1.6256598E-001	7.465194972532991E-001	1.400225566507143E+004
1.000000000000000E+000	1.6337679E-001	7.470870625742412E-001	1.400240966507874E+004
1.000000000000000E+000	1.6404527E-001	7.475078545371190E-001	1.400256166508596E+004
1.000000000000000E+000	1.6487515E-001	7.479931033659142E-001	1.400271366509318E+004
1.000000000000000E+000	1.6565952E-001	7.483404098684954E-001	1.400286766510049E+004
1.000000000000000E+000	1.6638641E-001	7.488956376212261E-001	1.400301966510771E+004
1.000000000000000E+000	1.6717400E-001	7.494360901397901E-001	1.400317166511493E+004
1.000000000000000E+000	1.6792899E-001	7.500177010701883E-001	1.400332566512225E+004
1.000000000000000E+000	1.6873464E-001	7.503926905016005E-001	1.400347766512947E+004
1.000000000000000E+000	1.6942571E-001	7.510055181781921E-001	1.400362966513669E+004
1.000000000000000E+000	1.7020443E-001	7.514827175297629E-001	1.400378266514395E+004
1.000000000000000E+000	1.7095925E-001	7.518020190944146E-001	1.400393566515122E+004
1.000000000000000E+000	1.7172068E-001	7.524578634483734E-001	1.400408766515844E+004
1.000000000000000E+000	1.7244954E-001	7.529268419103943E-001	1.400423966516566E+004
1.000000000000000E+000	1.7323002E-001	7.533298201457681E-001	1.400439366517297E+004
1.000000000000000E+000	1.7402245E-001	7.537105290493962E-001	1.400454566518019E+004
1.000000000000000E+000	1.7480390E-001	7.541256860875709E-001	1.400469766518741E+004
1.000000000000000E+000	1.7550045E-001	7.544044848941512E-001	1.400485166519473E+004
1.000000000000000E+000	1.7629451E-001	7.551670046370536E-001	1.400500366520195E+004
1.000000000000000E+000	1.7705241E-001	7.555978418844793E-001	1.400515566520917E+004
1.000000000000000E+000	1.7783740E-001	7.560728170431312E-001	1.400530966521648E+004
1.000000000000000E+000	1.7858884E-001	7.564974892666401E-001	1.400546166522370E+004
1.000000000000000E+000	1.7934382E-001	7.569953721950142E-001	1.400561366523092E+004
1.000000000000000E+000	1.8012390E-001	7.574169656201721E-001	1.400576666523819E+004
1.000000000000000E+000	1.8084797E-001	7.578064090369461E-001	1.400591966524546E+004
1.000000000000000E+000	1.8160844E-001	7.584307600659024E-001	1.400607166525268E+004
1.000000000000000E+000	1.8243833E-001	7.588420980708097E-001	1.400622366525989E+004
1.000000000000000E+000	1.8316911E-001	7.591202062940710E-001	1.400637766526721E+004
1.000000000000000E+000	1.8389791E-001	7.594968665138191E-001	1.400652966527443E+004
